,word_ngram_freq,volume_ngram_freq,freq
derham,98685,32003,1
fine,94065909,10552363,1
integrable,201380,50264,4
hodge,1313620,429044,2
pde,277571,41035,2
different,381761001,12077292,8
question,222529720,12539097,5
minimum,45947751,7478011,12
represent,54521326,6653648,2
thm,124244,61579,3
manifolds,385275,87256,23
ones,68802924,7904753,7
systematically,7017765,2788348,1
fast,49963650,10632943,1
isomorphism,455323,128449,7
customarily,1620110,888240,1
lies,48941300,8505274,4
computational,4827477,733587,1
smooth,26196438,5845839,64
copies,22762456,4730967,2
say,310063047,11304825,16
extract,14629116,3803277,1
translations,7863574,2237220,3
em,14453958,3016486,11
synonymous,3959395,1962579,1
main,135766466,10949263,2
current,138569643,11284476,1
transform,11047001,3065225,1
interleaving,201553,70597,1
gets,29913461,5809966,1
angle,39229069,4424230,8
although,269984217,14981866,4
ball,36084571,5973833,20
satisfy,19546973,5020542,8
w,47618976,9509104,5
curvatures,368917,141700,14
avoided,18999373,5300844,1
subordinate,11806299,3281690,1
operates,9902740,2900150,2
differentiation,13641980,2481748,3
calculate,14715444,2955855,14
customary,12161805,3560961,1
shows,113416183,10212987,12
long,477333877,19900521,4
upper,82015080,10054128,5
finally,124762454,13822444,3
case,416258729,13051531,70
change,252169887,16415077,15
behavior,104177552,5704048,1
referred,56063992,6717923,2
spread,53745664,9477433,1
notice,69035963,10596716,1
gained,32001121,6215200,1
extra,33362107,6870759,1
llet,6124,5148,1
factors,104238296,7300757,3
typos,125923,81851,1
letting,11907395,4326864,2
therefore,256680119,13269473,1
inequality,9879916,2058346,18
tensorial,40471,15782,3
convenience,11092331,3903334,1
replaced,30956923,5945163,5
modified,26606484,6220167,1
appears,102703030,8162770,1
v,108064400,14071875,1
projection,11765415,2460622,13
lifted,17326909,4012203,3
conjugate,2103565,440408,47
annihilate,1019480,669637,1
correspond,12766619,3665524,10
reached,91732623,7727389,4
bishop,42588641,3924588,14
becomes,98769246,7747625,8
spaces,16574002,3514040,34
symmetrize,5270,4183,2
increasing,69530493,8946258,1
shape,59292802,8902243,2
leaving,58148523,9276456,3
derivative,7041603,1706226,39
extendible,50475,25525,3
infinite,21799747,4215142,4
consists,45437909,5589105,4
goes,63818616,8150068,5
elementary,21698050,4390242,2
short,176858591,12888680,1
energies,12404868,2915151,1
match,23369368,6428879,2
relations,112325996,8947636,2
glue,4564671,1300598,1
fiber,14200359,1720842,4
explains,18168082,4572037,1
precise,21649625,5213491,2
stated,63693123,7372296,3
studies,159772512,11404367,1
indication,17365635,4829474,1
heat,82916476,8039954,2
significance,46613726,6599583,2
proof,41818941,7193433,43
insertion,7406314,1679738,1
removed,58380242,7325957,1
proves,9565642,3493435,2
abstracted,2076795,1079910,1
sssr,1107327,170066,1
le,75050930,8807597,1
bundles,4202086,1379598,3
nearer,13359330,4633386,1
correspondence,24484558,5009312,1
requires,61891844,6510805,4
names,73408991,9014913,1
p,106894432,10044643,10
uncoupled,262794,141555,1
implication,8804162,2911347,2
subtle,14618645,4289577,2
connectedness,694550,295531,1
horizontally,3680166,1437555,2
monotonic,574327,177154,3
based,197020666,11755792,5
negative,68431010,7054050,14
rays,19297531,2945029,6
positions,42732906,6100194,1
take,378659319,14903901,31
formulas,7870234,1831961,4
easy,80893690,9202257,9
analyzing,7356018,2608229,2
raising,24803385,7415524,1
n,125421809,13136651,3
operator,18617170,2476382,21
induced,32346816,4977424,18
together,202762516,12159448,5
analytic,6661427,1502184,1
r,97228768,14156513,12
analogue,2395976,799040,1
dealing,35549079,7014980,2
getting,73375416,8664479,6
parametrizations,19420,7660,2
space,127941942,10232438,121
comparison,53871977,8495414,30
knowledge,185412728,10946045,1
prob4,409,373,1
concepts,39340491,4972524,1
sequentially,1296567,607685,1
ideas,96892979,8339739,1
interpret,13163087,3970224,7
matching,9639581,2949688,1
ratio,53210388,4564843,1
dimensional,16132043,2103391,25
finite,14676449,2011921,14
central,143504901,12474480,2
subtler,673240,465041,1
consequent,8825900,3187144,1
homotopy,73383,11773,13
obtuse,1171260,521615,1
sufficiently,30460965,5536272,1
exponentiated,11099,5985,1
write,87398762,8971728,9
simply,110224005,9224022,12
clearly,97843943,10491029,9
need,273479350,14462712,8
reversely,48989,32832,1
along,186532177,15440582,72
perturbed,1228164,722041,1
orientable,32521,7270,9
heavily,22654586,5708794,1
view,213769776,13292081,2
integrate,5669855,1987509,1
giving,82617922,9664742,2
rest,118218918,12053797,1
pole,16959977,3929516,1
klingenberg,44236,13188,4
collisions,3214118,723447,1
convenient,20500469,5036158,2
translates,2613988,1327773,3
principle,92207363,7521832,2
naturally,42290781,8687037,3
within,351785120,14620456,7
differentiating,2466615,1196638,4
formulate,5256094,2247324,2
weakened,7235685,3207590,1
forming,27511321,6074276,2
maurer,551031,176547,6
serves,22702279,5146408,1
act,252837316,15092016,1
evaluated,12157171,2413251,1
measuring,20044812,4838186,1
open,184266698,16419271,18
types,102702549,8166485,1
scalar,2399736,388914,17
freely,21338599,5539898,3
assertion,12837770,3353273,1
hyperbolic,1084667,366875,2
intended,60016193,8434272,2
relating,29077080,5484282,2
inverse,6205230,1626418,5
ray,30396290,4782551,1
passed,107205319,7900368,1
plentiful,4177729,1949907,1
uniquely,3650817,1832476,13
multiplication,5937070,1767678,4
good,509939542,17565491,1
modern,134920850,12719431,2
areal,756657,217227,1
coincides,2655297,1303615,5
discovered,52126341,7141573,4
diffeomorphic,10326,2431,5
develops,12586696,3273528,1
era,31880608,5937190,1
universal,46292754,7304458,13
homomorphism,113364,17408,3
shrink,3703039,1981172,1
solidus,226658,63022,1
greatest,66308784,7828518,1
many,732675942,17515582,8
lorentzian,166724,33492,1
operate,27565053,5189715,1
loops,4965157,1273544,9
information,285127664,12435669,8
x,137589571,9707462,1
never,367408537,13735688,3
extremals,15801,3369,3
chapter,263277218,15950288,3
centered,11172012,3005793,1
extension,36358010,6244957,11
taken,244444700,10584402,8
cesare,898214,202966,1
powerful,59473409,7346170,1
features,72363939,8242796,1
point,333858038,16078850,128
solutions,35137432,4561125,8
euler,1471561,243312,11
applied,95584186,9310951,4
remarkable,36739601,5999215,1
twice,36389658,8488926,3
great,557149997,18225869,6
excluded,16736661,4251003,1
spanned,1151478,775562,4
seems,158520801,8541493,1
rauch,303413,109641,8
exchange,76398427,8946554,1
symmetry,8891438,1862894,11
transformation,28053106,4817297,5
interpretations,12107553,3262319,1
corresponds,13876670,3114041,4
covers,17906476,5729848,1
found,436617767,10463937,1
complement,9145198,2799064,2
establish,47704740,6871521,5
ams,841570,251410,1
root,36719902,6375955,1
feature,42814592,6548552,1
leave,111442661,11608123,2
discussion,95836510,9244502,2
eigenvectors,450115,72411,4
approximate,11312361,3847532,1
package,15065946,3094814,1
hypersurface,78591,16729,11
uniformly,7185231,2483746,9
exhaustion,5274615,2242204,1
locally,9393765,2717485,45
consequences,43490291,6561695,2
verification,5779487,1685856,1
measures,72774916,7867238,4
acted,22267455,5086419,1
meaningful,13061915,3156785,3
using,201536862,12044376,36
comparisons,11499334,3518993,6
surprising,19919134,5537722,1
parallelizability,903,537,2
summing,2374706,1436194,1
two,1034082956,23877777,42
refining,3901874,1522437,1
generality,3058665,1211362,3
geometry,11180410,1979227,23
discrete,8650177,1876804,1
common,232507127,13093518,2
impossible,69416389,8173080,2
index,57715744,10998560,40
add,71846370,9354451,1
spelled,3442671,1634762,2
sections,46932420,6679142,4
moved,78308876,7509764,1
determined,94480905,8853573,12
nonzero,981230,266942,12
minimizing,2737075,1288879,19
remain,78855958,8077225,1
nonsmooth,18790,7696,1
notes,79463444,11713943,4
obtain,59149618,6653875,16
distribution,98801980,7771388,1
column,43724858,5281666,5
generated,26079112,4239536,8
even,677507335,19797903,23
members,190942415,9947539,5
eq,16759746,576175,22
nullspace,7071,1995,4
summands,28580,9656,1
press,211628967,14902129,2
hint,9459285,3732238,3
levi,4343436,996871,18
closing,18705845,6468354,1
anything,125837838,9226066,2
finsler,16340,4592,25
suffice,7859036,3670929,1
realizes,3668855,1620434,3
join,36090222,6686408,1
radiate,1350001,760133,1
separable,1419903,645936,1
desired,43233166,7252084,3
minimums,238054,116770,1
content,80471016,10699746,1
ways,113283389,9176649,5
complementary,7448884,2339769,4
theory,168319212,10695225,14
notion,37572761,4773454,3
older,58790316,7628556,1
fix,13932019,4892146,3
neighboring,8063765,2603265,2
added,104772904,10274905,2
lagrangian,780492,106467,1
noncomplete,1279,1019,3
family,275638251,13014416,13
dirichlet,219277,39323,2
inequalities,4201510,1256891,7
develop,69342356,7013586,2
academia,1541318,686221,1
form,352032932,15622654,100
identifications,1317084,529414,1
holonomy,16626,4116,9
hadamard,132950,31849,8
formula,31449322,4462206,20
ascoli,150516,51577,15
maps,18313633,3685449,12
invariant,2927300,524917,24
integral,14858961,3877097,19
affected,52197554,7604892,1
preserving,8026482,3466144,1
described,131540958,8018047,1
cyclic,4927822,889572,6
raise,36593271,7270596,1
retaining,6771163,3107363,2
former,101846921,9390522,1
reals,340829,92940,1
barriers,12558567,3378029,4
follow,92875751,10715460,1
tranverse,21255,18527,1
light,223142561,17597592,1
starting,37683527,9671168,16
thus,352803269,14729206,51
gaussian,2753976,320153,9
polarization,5586227,864851,4
including,153800374,9282734,2
seen,232791574,9699456,9
gluing,364850,163360,2
neighborhood,17714377,3159388,29
invariance,886168,194607,4
origin,59234974,7970117,17
disoriented,649845,445955,1
adequate,38765589,6002077,1
bracketing,306720,173089,1
strip,13657852,4036713,1
substitute,16538915,5950344,1
classical,33142617,5174793,4
basis,123422191,8173347,82
superscript,399518,199823,1
image,83929870,7386980,5
distinct,44034717,6358222,2
glued,1642118,841353,1
arguments,33356218,5473400,7
geometric,6154284,1382900,8
discusses,8643961,2556425,1
additivity,253005,83444,2
lift,15729454,5108158,12
entire,86075488,8623671,2
equating,1159545,702947,1
functional,30982070,3995060,8
requirement,23378602,3802242,2
compare,30579346,7604316,2
done,205603672,9603517,4
torsion,1693605,342692,25
accepted,65209499,8075767,1
conveying,3570176,1844101,1
associating,1795916,1206516,1
file,64366267,5560959,1
rectifiable,11295,7398,4
apart,48518165,9832318,2
similarity,12151570,3395037,1
restricting,3449671,1818346,2
jacobi,927445,231316,56
prob12,169,163,1
decompose,1191681,487040,1
natural,163033916,12564036,5
polynomial,2326276,341733,1
repackage,40098,33988,1
conformity,8758673,2688110,1
satisfying,8057842,3586557,8
direct,114945752,12259522,3
entirely,71001785,7444243,1
geodesics,60997,10322,90
constants,8181645,1071407,4
must,662994536,11491303,28
construct,17439867,4025961,3
went,222172805,7974839,1
hyperplane,180410,31229,1
hessian,705454,235128,8
called,329762185,12093419,44
third,164752523,16830778,1
weyl,336837,75538,4
smoothly,5187849,2623289,7
involves,34963051,4775492,1
lie,44672168,9286380,18
divergence,4183083,1531314,4
fairly,38802658,6646972,1
rigid,15549981,4508494,2
unforced,166533,123375,1
historic,16435283,3959967,1
informative,3349953,1522971,1
proved,54494328,6875313,12
grows,15620031,4454754,2
hypotheses,9646674,1958433,2
sturm,616028,206150,2
problem,207066989,11146928,20
emphasizes,7139096,2263183,1
schur,186794,49817,2
generalizes,305146,206792,1
motions,10233717,2308383,1
nested,2059325,595368,1
dagger,2564955,1015868,1
estimate,33151125,6373919,2
recall,25444604,6675965,3
lthe,78691,60150,2
transpose,585747,332443,1
increases,48903583,6435295,1
easily,85185742,8231420,9
homotopic,26220,6868,2
bundle,7007925,2225565,33
cylindrical,5539221,1139252,1
horizontal,25457714,3709135,39
outline,19583950,6183948,3
geodesically,3055,1218,7
respectively,39552687,4685604,6
evaluating,10028761,2786270,1
inherited,11992947,3615423,3
tensors,374980,70102,16
successively,4427544,1879483,1
associated,101716328,9027400,1
stokes,3251194,775834,1
topology,2102976,344491,9
imitating,2154705,1330615,1
assert,11184356,3298568,1
applying,19789125,5481808,7
gallilean,2654,2153,2
technical,60608738,7450636,8
approximation,10129750,1880582,2
lorentz,990667,148601,11
commute,814608,417224,1
compactness,571002,351919,6
infinitesimally,205752,146440,1
thereby,34369860,5679947,1
fronts,3607808,1574046,4
coordinate,9339672,2021571,36
takes,84145451,8470363,5
looks,41153467,8137250,1
settings,16238356,2421674,1
requiring,18540184,4503306,5
supposing,6118211,2309600,1
class,193633305,11898790,13
vanish,3305553,1774159,7
singer,9389295,2262338,5
extends,14637350,3904141,5
filled,59421796,8353210,2
due,164237479,12659347,5
meridian,3893925,912352,1
specifically,31733299,6267705,2
generalizing,901867,576564,1
reference,88812899,9526257,1
ciencias,390440,114540,1
reformulated,449229,293457,1
cubic,9179669,1346129,1
joined,41895639,6250461,2
particular,188618420,9742426,18
stretching,7911488,3192167,1
equation,54841869,3069051,76
directly,90710253,8471500,4
inaccurate,3573414,1938629,1
bivectors,4471,731,2
spirals,1121231,480925,1
subsets,1477325,371640,6
recent,91426553,10133473,1
thought,292090261,14380454,3
part,515815125,19370028,17
variation,34834788,5202926,44
referring,16748940,5444542,2
characteristic,49474095,7429276,6
generalization,5602710,1601085,4
orthogonal,2235905,402335,35
attached,40121083,7058713,3
semicolon,618477,160095,1
theoretic,1347012,454629,1
questions,120973232,10418274,1
left,306802162,16406333,14
coordinates,7423360,1150628,22
arbitrariness,880056,475639,1
included,87961423,8592958,2
kinds,54492074,7015689,1
longitudinal,10821226,1612060,13
relatively,68593730,6234756,1
specify,13057071,2630048,2
normal,110176830,8357232,37
fitting,11933230,4986109,2
differentiated,7585511,2254448,1
unbounded,1916304,1016270,2
idea,145406908,9106479,12
loxodromes,3210,1388,1
noncut,281,201,1
koszul,7521,2228,5
removing,12501753,4475248,1
converging,1724075,979518,4
denoted,4572840,1172680,3
identities,7417779,1605386,1
vectors,6642893,704598,37
evaluate,16134168,3295968,3
u,44604000,9657423,1
section,202298684,11040758,9
sum,50642558,7358866,14
mapping,8880039,1882047,4
cone,8279084,1909571,1
definition,59510174,6874996,21
round,88680611,14138707,4
large,342399659,12783794,2
following,282890287,19140937,12
g,67743309,8476422,10
transferred,23759138,5023620,1
smaller,58778292,7804415,2
subscript,1257073,410848,1
familiar,45892964,7282553,2
supremum,58798,29438,1
metrics,1593091,264166,21
certain,255354603,12433819,3
flat,38209305,6559850,3
neither,92913536,18466190,2
homogeneous,9237680,2253985,6
pair,35236589,5592910,5
choice,78633933,9423545,11
inner,44668216,7066653,9
state,553386027,20618283,1
mean,146013228,13832698,2
radiating,2236530,1043281,3
subgroup,1926970,527157,3
domain,27294749,3830553,12
inside,71761839,13749717,4
reverse,21157922,6912513,5
reduction,45984072,5492415,1
everywhere,27387892,6865285,4
elliptic,967115,224028,2
followed,115410114,8381022,1
integration,28508192,3871990,2
expression,90569415,7554073,14
derivatives,6960490,1152407,23
singled,2150662,1351688,1
larger,89837443,8593533,2
independent,82973548,9189011,17
keep,147405178,11428769,1
parallelograms,171257,78160,1
minor,41027981,7993233,1
eliminate,14606888,3931615,1
parametrize,16452,10380,3
connection,67589468,7262978,149
usually,178737795,11122847,10
worse,36048597,7069292,1
convergent,1443791,495889,7
used,524065144,12042966,17
cauchy,435592,78575,13
concerned,83350541,9607860,3
prove,48293856,7134130,18
type,200474855,12488967,5
understood,59601763,8003189,1
destroys,3835947,1954840,1
higher,150778139,11456953,4
unless,81484257,11182200,1
float,6765249,2552078,1
essentially,35025234,6516309,4
loop,17542877,2454607,22
gradient,9651282,1167436,3
prob14,158,158,1
calculating,7268589,2697721,5
expressible,337047,175355,1
h,72827269,10258394,12
suppose,55746581,7367396,16
step,93522951,12149990,3
fixed,70927704,9932164,20
moreover,57580480,7900346,14
originate,4316495,1930633,1
words,227368818,10547827,1
numerical,14046244,2666983,2
nonsingularity,6294,3849,1
injective,49769,10929,1
terms,183434872,9711423,54
joining,10818107,4302895,1
arranged,31436031,6179587,2
translation,33248866,5232096,27
explicit,17093355,3648613,3
respect,116205867,9935246,47
imbeddings,2074,928,1
defining,13998342,4228755,4
intuitively,2214480,1165738,1
constructing,7097132,2942969,1
viewing,9307963,3308050,2
looking,104343071,12393393,2
standard,111899749,12585958,16
keeping,43150553,9622274,1
modifies,1591062,859551,1
sets,39931737,8217991,6
whereas,55849806,9562649,1
regard,81462519,9048256,1
resemblance,9511169,3209786,1
isometries,23542,4852,22
rectangles,1261227,464810,4
correspondences,1184469,438136,1
conjugation,1298773,291224,1
test,131231093,11528351,1
asymptotically,560211,165612,2
draw,45968756,8318286,1
tubes,14646081,2124743,1
average,111225011,10488493,1
rotating,5758443,1659101,1
decomposable,161002,66089,2
canonically,149418,78562,2
indefinite,5467633,2099239,5
domains,8301527,1594803,2
earlier,102977377,12720069,1
track,28410371,6065927,1
positively,10858187,3788743,1
generally,139841620,10600797,13
member,102879701,8952695,3
identifying,13705194,3995677,1
simple,122864411,11174406,14
determinant,3395822,1157435,6
brackets,4032245,1453371,6
statement,89976766,8210582,1
characterized,27281239,4076845,1
switched,5260663,1866246,1
employed,70975469,7120948,1
rsection,304,275,1
course,267248526,10317985,8
expresses,11048530,3347161,1
law,338265440,13374459,6
existenz,175757,56794,1
aside,33829618,8487759,1
connected,53595524,7505938,17
fashionable,6473182,2350713,1
furthermore,32685805,5692866,2
carry,67589761,8529410,1
book,244679041,16171850,5
algebra,4296536,1067489,11
unsigned,1481064,457651,1
priori,5554436,1412669,2
pointed,49433730,7883761,3
arrange,11448435,4271308,1
dimension,19240208,3584393,20
immersions,56471,34281,1
trivial,6867993,2817997,9
modeled,3971647,1391769,1
compute,7165329,1290773,1
parametrized,89683,37268,8
required,157770281,9667102,6
multiplicative,589231,183232,1
extendibility,13524,7946,1
approaching,16223884,5548519,2
shall,343397728,9431615,3
angular,9693512,1482448,2
plugging,760277,434861,1
combine,14915124,4687407,2
espaces,89759,44053,1
almost,222456557,12994061,1
definitions,16885456,3947354,4
treated,61429009,7510023,1
permutations,906701,414788,2
live,117234948,11369919,1
began,163262683,7784708,1
applications,43929991,5003064,2
separation,31687958,5614000,2
positive,84081928,7936026,31
orientation,22588924,3861031,1
passes,24225265,5799792,2
specialized,15316668,3799883,1
euclidean,1393835,250096,34
tangential,1865219,519328,2
composition,47623941,6225737,2
uniform,32114380,6645376,11
passing,46372633,9488628,1
define,30503877,5267163,28
place,401396238,16446993,3
notation,7407084,1517846,2
restrictions,19907029,4177852,1
concept,73598965,6201074,3
difficulties,46488482,7018463,1
subgroups,2051501,632586,1
individual,199046341,13106487,3
restriction,11225444,2924559,13
whole,264397495,13178654,6
letter,137746343,9677723,2
union,131560771,9546516,3
degenerate,3437623,1625164,3
works,134992496,13491075,5
banach,86548,19573,2
transverse,9995575,1470763,7
believe,138049846,9228650,1
hold,99442715,12582499,1
ii,211760644,13081117,1
riccati,58968,11597,25
essential,74121670,7947500,1
construction,78888353,7970591,4
collection,66607266,8719433,4
end,318429766,17601459,14
symmetric,3656484,583315,31
vector,17557231,1313771,156
exercise,72067303,9073406,1
young,233692423,13788234,1
structural,34750812,4538388,24
de,424296592,18672320,5
paths,13666683,4104770,3
farther,21870045,4698028,1
conventional,28354523,4918326,2
final,96624825,10192711,5
known,242748318,12283438,6
cyclicly,3556,2492,1
difficulty,57686471,7367539,2
consequently,40156710,7900667,3
conveniently,5121387,2478284,2
tangency,239189,64421,1
little,442854872,17594616,6
describes,30201362,5264358,1
compared,69960215,8962773,2
allowed,83426595,7953648,1
showed,68805694,6941327,1
require,68399544,6855820,5
advantage,63931110,7948810,1
vital,29437126,5922010,1
careful,39407698,7989018,1
interval,23227260,4316401,26
either,231828021,19715730,9
eschenburg,25017,10552,2
expanded,18605412,5076754,1
call,138858263,13717294,12
arclength,11045,4200,6
behaves,2300628,1217428,2
alternately,4182669,2091626,1
forcing,8839540,3721867,1
segment,18265255,2642374,15
truth,118722538,9172323,1
recently,56016797,9296735,1
bring,105435509,9563120,1
showing,50718659,8306531,4
method,159053948,9909470,8
gradients,3105298,588622,1
surrounding,26674759,6388972,1
saying,70213724,7291067,1
guides,10151171,3802680,1
extended,51285992,9475617,5
contract,65231279,6227381,1
whether,245964864,14078447,6
torsions,30065,15560,1
latter,116154349,9922941,3
parametrically,60571,33601,1
refinement,5446178,2276840,1
refers,29001642,4870795,3
speed,57878343,8133578,18
position,201281266,10352645,1
dimensions,27634114,4913061,4
edges,16322057,3126709,1
possibly,46098126,8605992,1
coframe,2521,171,15
minimize,8863444,2453162,1
constructed,29816696,5311131,1
linearly,2203924,567501,3
certainly,92207776,11255855,3
correctly,15695513,4453193,1
notions,14121305,3418367,2
become,247467268,9303454,5
error,56750399,6582980,1
permissible,5237778,1737380,1
goal,44303157,5761398,1
reasons,77424645,8729693,1
subspace,470905,68265,13
research,210101214,11367841,1
wege,231138,111225,1
way,559785767,13629573,15
differences,87593624,8055319,1
functions,76050556,7169981,16
parallel,45150095,7931970,71
da,21601853,3879246,1
usual,58076335,7209415,14
one,2148983086,34727456,54
evolve,4641243,1960374,1
omit,4172994,1984722,1
necessary,208018922,9052614,3
calculated,35852459,5772757,2
produces,27393941,4744589,1
bases,16760032,4068140,17
cover,61094511,11589674,3
infimum,27284,11336,3
related,118838205,11085603,5
multiple,45911282,6130819,8
formulation,12348877,2731952,3
bound,55126998,9219934,9
nondecreasing,58738,24181,3
exactly,54905332,8366252,3
orthogonally,88205,47043,2
invariants,526573,105615,1
conclude,20015021,4608654,6
analyze,10515734,2958576,1
imbed,50802,34656,1
fill,31346644,7930704,1
however,519207264,15744927,17
written,134806145,11857498,1
small,350484848,14299510,7
full,197457082,12098127,1
argument,64366769,6429945,8
century,202612948,11301146,2
real,181565857,12386952,12
odd,17197822,4752334,2
embodiment,3520628,1475651,1
go,323996019,14500205,6
component,39691421,4564002,9
identical,28227393,5161035,1
endpoints,673352,164382,3
neighborhoods,4641732,1007839,5
technique,46320076,5271557,2
wilhelm,5201193,1084919,1
special,172749212,14011371,8
disjoint,539187,132927,1
several,266874027,14354739,4
happening,13915417,4189376,1
indeed,147261279,12327624,3
results,180160027,11353827,5
expressions,22037198,4674078,8
concentric,2794323,1008649,3
